player_name,equipe,positions,cluster,UMAP_1,UMAP_2,UMAP_3
Yaya Kader Fofana,Reims,"MF,FW",4,19.300793,7.4544187,3.395293
Rasmus Nicolaisen,Toulouse,DF,5,14.600193,10.842752,4.690788
Marco Asensio,Paris S,"FW,MF",0,18.70043,5.4020834,1.5833827
Folarin Balogun,Monaco,FW,3,21.395899,8.025269,1.8952016
Andy Delort,Montpellier,FW,3,22.356146,8.19243,1.6674652
Jhoanner Chávez,Lens,"DF,MF",8,17.735321,7.905998,1.8548778
Fodé Ballo-Touré,Le Havre,"DF,MF",7,17.523375,9.526989,4.5142875
Nampalys Mendy,Lens,MF,6,17.652061,7.445536,4.998586
Mahamadou Diawara,Le Havre,MF,6,18.54286,8.264102,5.41342
Nikola Maksimović,Montpellier,DF,5,15.10831,9.414006,5.8143635
Pierre Cornud,Saint,DF,7,16.49609,9.42173,4.6160407
Florian Ayé,Auxerre,FW,3,22.326708,7.999812,2.2408736
Elye Wahi,Marseille,FW,3,21.57489,8.508015,1.0633397
Maxence Caqueret,Lyon,MF,1,17.802248,6.3922606,4.96702
Jordan Teze,Monaco,DF,8,17.31653,8.920498,2.1894112
Daler Kuzyaev,Le Havre,MF,6,17.420387,8.577921,5.4106755
John Joe,Reims,MF,6,19.043983,8.431521,4.9427094
Mohamed Meité,Rennes,FW,3,22.184616,8.227376,1.3572947
Andrew Omobamidele,Strasbourg,DF,2,13.575107,9.108047,4.9632916
Jean-Kevin Duverne,Nantes,DF,7,17.136318,9.019065,3.6246212
Bamba Dieng,Angers,FW,3,21.323801,8.059294,0.65298027
Ben Old,Saint,"FW,MF",0,20.119099,6.481082,2.0825794
Amine Harit,Marseille,MF,0,17.782715,5.4322243,2.021048
Tino Kadewere,Nantes,"MF,FW",4,19.686108,7.2484274,3.545729
Krépin Diatta,Monaco,"DF,FW",7,17.059748,8.685188,3.4097526
