player_name,equipe,positions,cluster,tsne_1,tsne_2,tsne_3,tsne_4
Brice Samba,Rennes,GK,5,-1.6276033510347088,-0.005723891984069365,1.410102616880199,-2.3921515160899327
Pierre Lees-Melou,Brest,MF,1,0.24687547101693627,1.2862902148997528,-0.3307278963597041,0.052494978144293505
Yassin Belkhdim,Angers,MF,6,0.2684714625354884,-0.16927593976541613,1.1490421083327025,-0.08225036474271079
Frank Magri,Toulouse,"FW,MF",7,1.6359209788762774,-1.579980347119739,0.46157592699567807,0.9211083272375198
Nathan Zeze,Nantes,DF,0,-0.4386696268618911,0.9820693778383537,0.8691465255803017,-0.9676046426654151
Abdoulaye Bamba,Angers,DF,0,-0.4030262722888926,0.45871030528784645,0.892858541901937,-1.5056890125287459
Christian Mawissa,Monaco,DF,0,-0.8997504046756779,1.3349295576179396,1.1135809457214372,-0.23981294361567326
Steve Mandanda,Rennes,GK,5,-1.6454878369436619,0.1883791761246346,1.2376856735754287,-2.62442326658654
Tanguy Coulibaly,Montpellier,"FW,MF",7,0.5933392423625716,-1.4152666270865173,0.2706823775111922,0.6182325380178557
M'Bala Nzola,Lens,FW,7,1.8281430867913213,-1.265223808753197,0.3085659332159212,1.2550718569703185
Kévin Danois,Auxerre,MF,1,0.42508040494104526,0.5105764163763037,0.10920613392734925,0.5114552056192428
Christopher Wooh,Rennes,DF,0,-0.35308624853755155,1.4129403400265197,1.1452934231019731,-1.0463896698431345
André Ayew,Le Havre,FW,7,1.5002562874571244,-1.512658136755743,0.7542984334691833,0.6312087654669066
Georges Mikautadze,Lyon,FW,7,2.060895627300439,-1.538725223830956,-1.0718729072725024,1.1413672701677
Mathieu Gorgelin,Le Havre,GK,5,-1.4279972518426223,0.04045795230900694,1.214230101402532,-2.505026890366348
Derek Cornelius,Marseille,DF,2,-1.4346171575921463,1.4603384286118792,-0.6483764515576115,-0.9593697058202422
Anass Zaroury,Lens,"FW,MF",4,-0.19076177099443817,-0.6702888740673011,-1.728577627112809,0.6515456301212958
Ali Abdi,Nice,"DF,MF",3,-0.483287280525992,-0.00980676463093103,-0.09069969666114062,0.9876213057045454
Przemysław Frankowski,Lens,DF,3,-0.8450087639317186,0.40716857559205394,-1.0827548658261277,0.48387941944808993
Malang Sarr,Lens,DF,2,-0.9897997181630496,0.8783824072760287,0.029014162103141193,-1.1810846307107992
Julien Le Cardinal,Brest,DF,0,-0.23388723719443116,1.4229062461307562,1.1871841894367363,-1.27290080963963
Radosław Majecki,Monaco,GK,5,-1.9689632988589256,0.165656539753343,1.5106069369955613,-2.4290550258240127
Emmanuel Biumla,Angers,DF,0,-1.032476860503727,0.6730140270885486,1.3137309179553174,-1.27805865832971
Kamory Doumbia,Brest,"MF,FW",1,1.161810482437108,0.5341792927817298,-0.33005967496074273,0.10333500097251244
Sorba Thomas,Nantes,"FW,MF",4,-0.2962249611774836,-0.8112374308683908,-1.8037384617125325,0.6179204024675535
Lilian Raolisoa,Angers,"DF,FW",3,-0.4522485761617192,-0.9933551563369762,-0.7138177243016341,0.037715040128859637
Amadou Koné,Reims,MF,6,0.2558256065986685,0.7235587675845663,1.3637217654418823,-0.012629088469208327
Osame Sahraoui,Lille,"FW,MF",4,0.6233493308858187,-0.4594740283050004,-1.3026734931110908,1.3437798356838278
André Gomes,Lille,MF,2,-0.15952788676725843,1.0856811791383094,-0.6121641522287667,-0.154944474196946
Mathew Ryan,Lens,GK,5,-1.7627238566486898,0.020189189544372373,1.3759939020054228,-2.403593610581645
Emmanuel Agbadou,Reims,DF,2,-0.6560014635999071,1.2577620495981259,-0.41578540602122394,-0.9869488100906665
Romain Del Castillo,Brest,FW,4,0.06790006768400383,-1.0217273559700808,-2.267644831385489,0.5698548458202838
Mostafa Mohamed,Nantes,FW,7,1.659163917474853,-1.7243730910590191,0.23424457285781836,0.8428175016689579
Florian Tardieu,Saint,MF,2,-0.12154900289189913,0.6835638431460139,-0.890570423720589,-0.5896828166731152
