player_name,positions,equipe,cluster,UMAP_1,UMAP_2,UMAP_3,age
Jordan Amavi,DF,Brest,2,17.159998,8.765572,3.5699184,30.0
Tom Louchet,"DF,MF",Nice,1,17.235489,7.894191,2.6345706,21.0
Sekou Mara,"FW,MF",Strasbourg,4,21.649254,7.0979257,2.0819235,22.0
Maxime Bernauer,DF,Saint,3,14.0916815,8.70853,4.4851456,26.0
Boubakar Kouyaté,DF,Montpellier,3,14.545721,9.933257,5.591868,27.0
Teddy Teuma,MF,Reims,2,16.727976,6.7754846,2.944072,30.0
Angel Gomes,MF,Lille,4,18.385462,6.1823983,2.6072607,23.0
Saïd Benrahma,"FW,MF",Lyon,0,18.673569,5.0926914,1.1670262,28.0
Augustine Boakye,"FW,MF",Saint,4,20.280073,6.471553,1.676711,23.0
Mathieu Cafaro,"MF,FW",Saint,0,19.374617,7.1181574,2.0584865,27.0
Rayan Raveloson,"MF,DF",Auxerre,3,16.585472,8.291062,5.479404,27.0
George Ilenikhena,FW,Monaco,4,21.634586,8.407357,0.8508123,17.0
Lucas Mincarelli,DF,Montpellier,1,17.101831,9.281672,4.7964735,20.0
Jacques Ekomie,"DF,FW",Angers,1,18.725687,9.007392,4.5535154,20.0
Mikayil Ngor Faye,DF,Rennes,1,14.151575,8.239257,4.8731437,20.0
Abdulai Juma Bah,DF,Lens,1,14.735342,9.557708,5.6891313,18.0
Pol Lirola,DF,Marseille,3,16.318304,9.79961,4.256851,26.0
Assane Dioussé,MF,Auxerre,3,16.720684,7.763733,5.3704515,26.0
Glen Kamara,MF,Rennes,3,17.518543,7.148675,5.0856967,28.0
Emmanuel Sabbi,"FW,MF",Le Havre,0,21.069332,6.7923875,1.8771807,26.0
Ismaël Bennacer,MF,Marseille,3,15.61388,5.6675153,3.5656788,26.0
Chuba Akpom,FW,Lille,0,21.222668,8.061614,0.22239962,28.0
Luck Zogbé,DF,Brest,1,17.778349,8.533174,4.2017984,19.0
Rémy Labeau Lascary,"FW,MF",Lens,4,20.602077,6.4386992,1.1832929,21.0
Yaya Kader Fofana,"MF,FW",Reims,4,19.300793,7.4544187,3.395293,20.0
Rasmus Nicolaisen,DF,Toulouse,3,14.600193,10.842752,4.690788,27.0
Marco Asensio,"FW,MF",Paris S,0,18.70043,5.4020834,1.5833827,28.0
Folarin Balogun,FW,Monaco,4,21.395899,8.025269,1.8952016,23.0
Andy Delort,FW,Montpellier,0,22.356146,8.19243,1.6674652,32.0
Jhoanner Chávez,"DF,MF",Lens,4,17.735321,7.905998,1.8548778,22.0
Fodé Ballo-Touré,"DF,MF",Le Havre,3,17.523375,9.526989,4.5142875,27.0
Nampalys Mendy,MF,Lens,2,17.652061,7.445536,4.998586,32.0
Mahamadou Diawara,MF,Le Havre,1,18.54286,8.264102,5.41342,19.0
Nikola Maksimović,DF,Montpellier,2,15.10831,9.414006,5.8143635,32.0
Pierre Cornud,DF,Saint,3,16.49609,9.42173,4.6160407,27.0
Florian Ayé,FW,Auxerre,0,22.326708,7.999812,2.2408736,27.0
Elye Wahi,FW,Marseille,4,21.57489,8.508015,1.0633397,21.0
Maxence Caqueret,MF,Lyon,3,17.802248,6.3922606,4.96702,24.0
Jordan Teze,DF,Monaco,3,17.31653,8.920498,2.1894112,24.0
Daler Kuzyaev,MF,Le Havre,2,17.420387,8.577921,5.4106755,31.0
John Joe,MF,Reims,1,19.043983,8.431521,4.9427094,20.0
Mohamed Meité,FW,Rennes,4,22.184616,8.227376,1.3572947,16.0
Andrew Omobamidele,DF,Strasbourg,1,13.575107,9.108047,4.9632916,22.0
Jean-Kevin Duverne,DF,Nantes,3,17.136318,9.019065,3.6246212,27.0
Bamba Dieng,FW,Angers,4,21.323801,8.059294,0.65298027,24.0
Ben Old,"FW,MF",Saint,4,20.119099,6.481082,2.0825794,21.0
Amine Harit,MF,Marseille,0,17.782715,5.4322243,2.021048,27.0
Tino Kadewere,"MF,FW",Nantes,0,19.686108,7.2484274,3.545729,28.0
Krépin Diatta,"DF,FW",Monaco,3,17.059748,8.685188,3.4097526,25.0
